station_id,station_name,city,district,lat,lon,update_time,rain_daily,rain_1hr,rain_10min,rain_24hr
466900,淡水,新北市,淡水區,25.164889,121.448906,2026-04-25T23:00:00+08:00,7.5,0.0,0.0,8.0
466881,新北,新北市,新店區,24.959207,121.525196,2026-04-25T23:00:00+08:00,5.5,0.5,0.0,6.0
466930,陽明山,臺北市,北投區,25.162078,121.544547,2026-04-25T23:00:00+08:00,7.0,0.0,0.0,7.5
466910,鞍部,臺北市,北投區,25.182586,121.529731,2026-04-25T23:00:00+08:00,8.5,0.0,0.0,8.5
466920,臺北,臺北市,中正區,25.037658,121.514853,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.5
C1AC50,關渡,臺北市,北投區,25.133486,121.469331,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.5
C0ACA0,新莊,新北市,新莊區,25.051478,121.446756,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,4.0
C0AG80,中和,新北市,中和區,24.991622,121.491792,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.5
C0A640,石碇,新北市,石碇區,24.993969,121.662917,2026-04-25T23:00:00+08:00,11.5,1.5,0.5,12.0
C0AC80,文山,臺北市,文山區,25.00235,121.575728,2026-04-25T23:00:00+08:00,4.5,1.0,0.0,5.0
C0A520,山佳,新北市,樹林區,24.974944,121.402008,2026-04-25T23:00:00+08:00,2.0,0.0,0.0,3.5
C0A570,桶後,新北市,烏來區,24.848222,121.597992,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
C0AH50,林口,新北市,林口區,25.072181,121.380839,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
C0A950,鼻頭角,新北市,瑞芳區,25.129036,121.923372,2026-04-25T23:00:00+08:00,10.0,2.0,0.0,10.5
C0A860,大坪,新北市,萬里區,25.165914,121.632969,2026-04-25T23:00:00+08:00,11.5,0.0,0.0,12.0
C0A870,五指山,新北市,汐止區,25.132153,121.608692,2026-04-25T23:00:00+08:00,7.5,0.0,0.0,8.0
C0A890,雙溪,新北市,雙溪區,25.036003,121.864242,2026-04-25T23:00:00+08:00,12.0,0.5,0.0,13.0
C0A931,三和,新北市,金山區,25.233153,121.595236,2026-04-25T23:00:00+08:00,15.0,0.0,0.0,15.5
C0A940,金山,新北市,金山區,25.223628,121.643967,2026-04-25T23:00:00+08:00,14.0,0.0,0.0,14.5
C0A970,三貂角,新北市,貢寮區,25.007606,122.002058,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
C0A980,社子,臺北市,士林區,25.109508,121.469681,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
C0A9C0,天母,臺北市,士林區,25.117494,121.537169,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
C0A9F0,內湖,臺北市,內湖區,25.079422,121.57545,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,5.0
C0AC70,信義,臺北市,信義區,25.037822,121.564597,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.5
C0A530,坪林,新北市,坪林區,24.938183,121.70975,2026-04-25T23:00:00+08:00,5.5,0.5,0.0,6.0
C0A550,泰平,新北市,雙溪區,24.971197,121.823711,2026-04-25T23:00:00+08:00,10.0,0.5,0.0,10.5
C0AH00,汐止,新北市,汐止區,25.066881,121.658778,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,7.0
C0AC60,三峽,新北市,三峽區,24.939025,121.369728,2026-04-25T23:00:00+08:00,2.5,0.0,0.0,3.0
C1A9N0,四十份,新北市,新店區,24.934158,121.593283,2026-04-25T23:00:00+08:00,8.5,1.5,1.0,9.0
C0AC40,大屯山,臺北市,北投區,25.175675,121.522408,2026-04-25T23:00:00+08:00,9.0,0.0,0.0,10.0
A1A9S0,湖田國小,臺北市,北投區,25.168595,121.538915,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1A9T0,大屯國小,臺北市,北投區,25.154997,121.503915,2026-04-25T23:00:00+08:00,5.0,0.0,0.0,5.5
A1A9U0,桃源國中,臺北市,北投區,25.134398,121.476914,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
A1A9V0,北投國小,臺北市,北投區,25.133897,121.498913,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1A9W0,陽明高中,臺北市,士林區,25.092496,121.51671,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1A9X0,太平國小,臺北市,大同區,25.061696,121.511708,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1A9Y0,民生國中,臺北市,松山區,25.059693,121.566707,2026-04-25T23:00:00+08:00,4.5,0.5,0.0,5.0
A1A9Z0,中正國中,臺北市,中正區,25.031696,121.521906,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
A1AA00,三興國小,臺北市,信義區,25.029194,121.558106,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.0
A1AA10,格致國中,臺北市,士林區,25.131395,121.545613,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1AA20,平等國小,臺北市,士林區,25.129193,121.576412,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
A1AA30,至善國中,臺北市,士林區,25.103294,121.555611,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1AA40,碧湖國小,臺北市,內湖區,25.084692,121.591709,2026-04-25T23:00:00+08:00,0.0,0.0,0.0,1.0
A1AA50,東湖國小,臺北市,內湖區,25.069191,121.615007,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1AA60,留公國中,臺北市,信義區,25.037192,121.585606,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
A1AA70,舊莊國小,臺北市,南港區,25.039991,121.619405,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.5
A1AA90,博嘉國小,臺北市,文山區,25.002193,121.575304,2026-04-25T23:00:00+08:00,4.5,0.5,0.0,5.0
A1AB00,北政國中,臺北市,文山區,24.984393,121.577502,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.5
A1AB10,埤腹,臺北市,文山區,24.986395,121.545303,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1AB20,雙園,臺北市,萬華區,25.030298,121.490307,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
A1AB30,中洲,臺北市,士林區,25.105298,121.474712,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1AB40,玉成,臺北市,南港區,25.052193,121.582507,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.5
A1AB50,建國,臺北市,中山區,25.072195,121.528909,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
A1AB60,福德,臺北市,士林區,25.099395,121.528911,2026-04-25T23:00:00+08:00,2.5,0.0,0.0,3.5
A1AB70,奇岩,臺北市,北投區,25.123897,121.503113,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1AB80,雙溪,臺北市,士林區,25.113593,121.569411,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
01A210,大豹,新北市,三峽區,24.887277,121.421373,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.0
01A420,竹子湖,臺北市,士林區,25.162299,121.54405,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.0
01A190,碧湖,新北市,坪林區,24.890886,121.745559,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.0
01A130,石碇(2),新北市,石碇區,24.991596,121.657883,2026-04-25T23:00:00+08:00,7.0,0.0,0.0,8.0
01A220,三峽,新北市,三峽區,24.938878,121.355555,2026-04-25T23:00:00+08:00,2.0,0.0,0.0,3.0
01A380,瑞芳(2),新北市,瑞芳區,25.110338,121.803301,2026-04-25T23:00:00+08:00,10.0,0.0,0.0,10.0
01A200,火燒寮,新北市,平溪區,24.981089,121.749275,2026-04-25T23:00:00+08:00,12.0,1.0,0.0,12.0
01AG10,熊空山,新北市,三峽區,24.87561,121.451992,2026-04-25T23:00:00+08:00,5.0,0.0,0.0,5.0
01AG00,社后橋,新北市,汐止區,25.063288,121.633793,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,7.0
01AF90,三貂嶺,新北市,瑞芳區,25.059541,121.820556,2026-04-25T23:00:00+08:00,14.0,2.0,0.0,15.0
01A350,富貴角,新北市,石門區,25.288486,121.544109,2026-04-25T23:00:00+08:00,5.0,0.0,0.0,5.0
L1A840,太平,新北市,雙溪區,24.971779,121.828198,2026-04-25T23:00:00+08:00,10.0,0.5,0.0,10.5
L1A800,碧湖,新北市,坪林區,24.892584,121.745694,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.0
L1A830,坪林,新北市,坪林區,24.936785,121.713797,2026-04-25T23:00:00+08:00,6.5,0.5,0.0,6.5
L1A810,九芎根,新北市,石碇區,24.902389,121.649896,2026-04-25T23:00:00+08:00,5.0,0.0,0.0,5.5
L1A820,十三股,新北市,石碇區,24.943989,121.649599,2026-04-25T23:00:00+08:00,7.0,0.0,0.0,7.5
L1A790,翡翠,新北市,新店區,24.907093,121.580097,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.0
A1AC50,舊莊里,臺北市,南港區,25.03399,121.624705,2026-04-25T23:00:00+08:00,6.5,0.5,0.0,7.0
A1AD70,茶製場,臺北市,南港區,25.028388,121.663304,2026-04-25T23:00:00+08:00,6.0,0.5,0.0,7.0
A1AC60,九如里,臺北市,南港區,25.032491,121.611605,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.5
A1AD30,安泰里,臺北市,內湖區,25.087591,121.613109,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1AC90,溪山里,臺北市,士林區,25.136892,121.588912,2026-04-25T23:00:00+08:00,3.5,0.0,0.0,4.0
A1AC80,明德樂園,臺北市,士林區,25.113693,121.565711,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,4.0
A1AD00,菁山里,臺北市,士林區,25.143993,121.566013,2026-04-25T23:00:00+08:00,2.5,0.0,0.0,3.0
A1AD10,擎天崗,臺北市,士林區,25.163293,121.568014,2026-04-25T23:00:00+08:00,10.5,0.0,0.0,11.0
A1AD80,貴子坑,臺北市,北投區,25.155898,121.489815,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.5
A1AD50,劍南路,臺北市,中山區,25.089894,121.55131,2026-04-25T23:00:00+08:00,4.0,0.5,0.0,5.0
A1AD20,竹子湖,臺北市,北投區,25.168295,121.528315,2026-04-25T23:00:00+08:00,7.5,0.0,0.0,7.5
A1AD40,小油坑,臺北市,北投區,25.180294,121.548816,2026-04-25T23:00:00+08:00,11.0,0.0,0.0,11.5
A1AC70,挹翠山莊,臺北市,信義區,25.017093,121.574405,2026-04-25T23:00:00+08:00,5.0,0.0,0.0,5.5
A1AC40,指南里,臺北市,文山區,24.981493,121.580302,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
A1AD60,貓空,臺北市,文山區,24.968892,121.595301,2026-04-25T23:00:00+08:00,9.5,2.0,0.0,10.5
C0AD10,八里,新北市,八里區,25.150211,121.403947,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
C0AD30,蘆洲,新北市,蘆洲區,25.086594,121.472331,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,4.0
C0AD40,土城,新北市,土城區,24.973208,121.445169,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
C0AD50,鶯歌,新北市,鶯歌區,24.951533,121.346294,2026-04-25T23:00:00+08:00,2.0,0.0,0.0,2.5
A1AG40,四獸山,臺北市,信義區,25.029293,121.582905,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,7.0
A1AG60,福州山,臺北市,大安區,25.016894,121.554305,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,5.0
A1AG80,金面山,臺北市,內湖區,25.094893,121.56991,2026-04-25T23:00:00+08:00,4.0,1.0,0.0,5.0
A1AG20,大湖里,臺北市,內湖區,25.096391,121.604109,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,5.0
