proj,dag_id,band,old_schedule,new_schedule,執行時間說明,config_path
proj_city_dashboard,D050303_6,heavy,0 0 1 * *,"30 17 1,22 * *",每月 1號、22號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_6/job_config.json
proj_city_dashboard,D100106_1,heavy,0 0 1 * *,"30 17 2,23 * *",每月 2號、23號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100106_1/job_config.json
proj_city_dashboard,R0054,heavy,"40 3 9 6,12 *","30 17 3,24 * *",每月 3號、24號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0054/job_config.json
proj_city_dashboard,bike_theft,heavy,30 23 10 * *,"30 17 4,25 * *",每月 4號、25號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/bike_theft/job_config.json
proj_city_dashboard,D050201_1,light,0 3 9 * *,"30 17 5,26 * *",每月 5號、26號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050201_1/job_config.json
proj_city_dashboard,aed_locations,light,0 20 19 * *,"30 17 6,27 * *",每月 6號、27號 Taipei 01:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/aed_locations/job_config.json
proj_city_dashboard,D050303_8,heavy,0 0 1 * *,"30 18 1,22 * *",每月 1號、22號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_8/job_config.json
proj_city_dashboard,R0017,heavy,30 3 1 4 *,"30 18 2,23 * *",每月 2號、23號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0017/job_config.json
proj_city_dashboard,R0057,heavy,0 4 25 * *,"30 18 3,24 * *",每月 3號、24號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0057/job_config.json
proj_city_dashboard,flu_hospitals_tpe,heavy,@monthly,"30 18 4,25 * *",每月 4號、25號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/flu_hospitals_tpe/job_config.json
proj_city_dashboard,D050302_2,light,"0 2 2 6,12 *","30 18 5,26 * *",每月 5號、26號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050302_2/job_config.json
proj_city_dashboard,elderly_club,light,0 20 19 * *,"30 18 6,27 * *",每月 6號、27號 Taipei 02:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/elderly_club/job_config.json
proj_city_dashboard,D050601,heavy,"0 1 18 5,11 *","30 19 1,22 * *",每月 1號、22號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050601/job_config.json
