grid_id,density,district,lon,lat
86423,71,新北市新莊區,121.44157180180198,25.052068765766034
86424,69,新北市新莊區,121.44157180180197,25.052969666666932
86425,59,新北市新莊區,121.441571801802,25.053870567567834
86426,55,新北市新莊區,121.44157180180197,25.054771468468733
86427,55,新北市新莊區,121.44157180180198,25.055672369369635
86428,44,新北市新莊區,121.44157180180201,25.056573270270544
86429,35,新北市新莊區,121.44157180180197,25.057474171171442
86430,11,新北市泰山區,121.44157180180201,25.058375072072344
86431,10,新北市泰山區,121.44157180180198,25.05927597297325
86432,10,新北市泰山區,121.44157180180197,25.06017687387415
86433,9,新北市泰山區,121.44157180180197,25.06107777477505
86434,2,新北市泰山區,121.44157180180197,25.06197867567595
86435,1,新北市泰山區,121.44157180180197,25.06287957657685
86436,1,新北市泰山區,121.44157180180197,25.06378047747775
86437,1,新北市泰山區,121.44157180180201,25.06468137837866
86438,1,新北市泰山區,121.44157180180197,25.065582279279557
86439,1,新北市泰山區,121.44157180180201,25.066483180180462
86440,1,新北市泰山區,121.44157180180197,25.06738408108136
86441,1,新北市五股區,121.44157180180197,25.068284981982266
86442,1,新北市五股區,121.44157180180198,25.06918588288317
86451,5,新北市五股區,121.44157180180198,25.077293990991283
86452,19,新北市五股區,121.44157180180197,25.07819489189219
86453,44,新北市五股區,121.44157180180201,25.079095792793083
86454,68,新北市五股區,121.441571801802,25.079996693693992
86455,77,新北市五股區,121.44157180180198,25.08089759459489
86456,97,新北市五股區,121.44157180180198,25.081798495495796
86457,95,新北市五股區,121.44157180180197,25.082699396396688
86458,101,新北市五股區,121.44157180180197,25.0836002972976
86459,108,新北市五股區,121.44157180180197,25.0845011981985
86460,116,新北市五股區,121.441571801802,25.085402099099408
86461,98,新北市五股區,121.44157180180201,25.08630300000031
86462,98,新北市五股區,121.44157180180198,25.08720390090121
86463,89,新北市五股區,121.44157180180197,25.088104801802107
86464,63,新北市五股區,121.44157180180201,25.089005702703016
86465,63,新北市五股區,121.44157180180197,25.089906603603914
86466,57,新北市五股區,121.44157180180201,25.090807504504813
86467,55,新北市五股區,121.441571801802,25.09170840540572
86468,49,新北市五股區,121.441571801802,25.09260930630662
86469,42,新北市五股區,121.44157180180197,25.09351020720752
86470,30,新北市五股區,121.44157180180198,25.094411108108428
86471,28,新北市五股區,121.441571801802,25.09531200900933
86472,4,新北市五股區,121.44157180180197,25.09621290991023
86473,3,新北市五股區,121.44157180180198,25.097113810811134
86474,6,新北市五股區,121.44157180180201,25.098014711712036
86475,10,新北市五股區,121.44157180180197,25.098915612612927
