"識別碼","資料集名稱","資料集網址","資料集提供機關名稱","更新頻率","主題分類","數發部資料集服務分類","提供格式","資料集語系","資料說明"
"99DC97D4-346B-4BD2-9C30-15C4ABD2D942","114年度新北市總預算歲入來源別預算比較總表(經資門併計)","https://data.ntpc.gov.tw/datasets/99dc97d4-346b-4bd2-9c30-15c4abd2d942","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲入來源別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"A5B10D6A-CA1A-44AB-8572-698AAF530F29","114年度新北市總預算歲入來源別預算總表","https://data.ntpc.gov.tw/datasets/a5b10d6a-ca1a-44ab-8572-698aaf530f29","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲入來源別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"030C4AB6-8722-441E-8F21-279A4D9D2546","114年度新北市總預算歲出政事別預算總表","https://data.ntpc.gov.tw/datasets/030c4ab6-8722-441e-8f21-279a4d9d2546","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲出政事別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"BBAEEA49-196C-4489-A73D-A4CED5D399B2","114年度新北市總預算歲出政事別預算比較總表（經資門併計）","https://data.ntpc.gov.tw/datasets/bbaeea49-196c-4489-a73d-a4ced5d399b2","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲出政事別預算比較總表（經資門併計） 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"342818CA-3282-4F54-9D6D-6CA9ABE95350","114年度新北市總預算歲入歲出簡明比較分析表","https://data.ntpc.gov.tw/datasets/342818ca-3282-4f54-9d6d-6ca9abe95350","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲入歲出簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"C55AB421-8F71-4161-95AF-F2E3FD871D9F","114年度新北市總預算歲入歲出性質及餘絀簡明比較分析表","https://data.ntpc.gov.tw/datasets/c55ab421-8f71-4161-95af-f2e3fd871d9f","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲入歲出性質及餘絀簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"620012B8-4922-42AB-B62E-F781415B1B54","115年度新北市總預算案基金別預算分析表","https://data.ntpc.gov.tw/datasets/620012b8-4922-42ab-b62e-f781415b1b54","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案基金別預算分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"8FB69456-6DFF-459A-9343-82C586C46C3B","114年度新北市總預算歲出機關別預算比較總表(經資門併計)","https://data.ntpc.gov.tw/datasets/8fb69456-6dff-459a-9343-82c586c46c3b","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲出機關別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"5ED66A76-E58C-4D83-A39C-5B05407263D9","115年度新北市總預算案收支簡明比較分析表","https://data.ntpc.gov.tw/datasets/5ed66a76-e58c-4d83-a39c-5b05407263d9","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案收支簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"FEB1AEB7-F2DC-4552-9DF8-C7750BC9CBC9","114年度新北市總預算歲出機關別預算總表","https://data.ntpc.gov.tw/datasets/feb1aeb7-f2dc-4552-9df8-c7750bc9cbc9","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算歲出機關別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"6CFC9760-3AAC-424D-BBFC-BDAEBC82C9B2","115年度新北市總預算案歲入歲出簡明比較分析表","https://data.ntpc.gov.tw/datasets/6cfc9760-3aac-424d-bbfc-bdaebc82c9b2","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲入歲出簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"C2DCFEDD-2A38-4456-967D-8F5BC591DB21","115年度新北市總預算案歲入來源別預算比較總表（經資門併計）","https://data.ntpc.gov.tw/datasets/c2dcfedd-2a38-4456-967d-8f5bc591db21","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲入來源別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
