hotel_name,min_price,biz_area,city
長春精品旅館,3600.0,士林捷運站周邊,Taipei
緒遠旅館,980.0,天母商圈,Taipei
貴族商務旅館,2280.0,行義路溫泉美食商圈,Taipei
悠趣旅店,10000.0,士林捷運站周邊,Taipei
台北馥華商旅,9000.0,士林捷運站周邊,Taipei
城市商旅-台北南西館,7500.0,承德路中古汽車商圈,Taipei
芝山璞旅,5800.0,石牌捷運商圈,Taipei
香榭峇里賓館,880.0,士林觀光夜市商圈,Taipei
晴悅旅店,3500.0,天母商圈,Taipei
春天酒店,11000.0,新北投溫泉商圈,Taipei
高雅賓館,1680.0,士林觀光夜市商圈,Taipei
富園國際商務飯店,4800.0,承德路中古汽車商圈,Taipei
太平洋商旅,18000.0,士林觀光夜市商圈,Taipei
情覓汽車旅館 ,2200.0,天母商圈,Taipei
百樂匯大飯店,2500.0,新北投溫泉商圈,Taipei
印石時尚旅館,4500.0,中山國中捷運站周邊,Taipei
天閣酒店(台北林森),12000.0,承德路中古汽車商圈,Taipei
喜瑞飯店,10500.0,士林觀光夜市商圈,Taipei
貴都飯店,10800.0,大龍峒商圈,Taipei
鳳凰閣旅社,6000.0,新北投溫泉商圈,Taipei
萬事達旅店(中華店),4800.0,承德路中古汽車商圈,Taipei
皇家季節酒店1館,3300.0,承德路中古汽車商圈,Taipei
丹迪旅店-天母店,8000.0,行義路溫泉美食商圈,Taipei
馥麗精品旅館,2180.0,天母商圈,Taipei
天閣酒店台北信義,15000.0,大直商圈,Taipei
伊倫商務旅館,6000.0,士林捷運站周邊,Taipei
茹曦酒店,20790.0,士林捷運站周邊,Taipei
太豪大飯店,8000.0,士林捷運站周邊,Taipei
香城大飯店豪悅分店,6400.0,士林捷運站周邊,Taipei
溫拿旅館,1980.0,承德路中古汽車商圈,Taipei
金來商旅,15000.0,承德路中古汽車商圈,Taipei
維多麗亞酒店,11550.0,天母商圈,Taipei
友徠精品旅館,2280.0,西湖商圈,Taipei
寶格利時尚旅館,10800.0,承德路中古汽車商圈,Taipei
多郎明哥旅館,2580.0,士林觀光夜市商圈,Taipei
大地酒店,13800.0,新北投溫泉商圈,Taipei
華弘怡亨酒店,12000.0,士林觀光夜市商圈,Taipei
台北青年國際旅館,2200.0,承德路中古汽車商圈,Taipei
三二行館,29800.0,新北投溫泉商圈,Taipei
神旺商務酒店,13600.0,士林捷運站周邊,Taipei
宏都金殿大飯店,5000.0,士林觀光夜市商圈,Taipei
富逸旅趣-北車開封館,3800.0,承德路中古汽車商圈,Taipei
采舍精品旅館,4800.0,天母商圈,Taipei
東鑫商務旅館,1780.0,士林觀光夜市商圈,Taipei
小王子甜蜜旅店,10000.0,承德路中古汽車商圈,Taipei
柔美商旅,22000.0,士林捷運站周邊,Taipei
皇家季節酒店2館,3500.0,承德路中古汽車商圈,Taipei
新舍商旅-林森館,9900.0,天母商圈,Taipei
宜津美侖大飯店,14000.0,士林觀光夜市商圈,Taipei
璽愛旅店,10000.0,承德路中古汽車商圈,Taipei
正二旅館,2000.0,承德路中古汽車商圈,Taipei
同一大飯店,9800.0,天母商圈,Taipei
旅居文旅-西門驛站,8000.0,承德路中古汽車商圈,Taipei
沐蘭精品旅館,14500.0,天母商圈,Taipei
捷絲旅西門町店,3200.0,承德路中古汽車商圈,Taipei
探索汽車旅館南港館,3980.0,西湖商圈,Taipei
家美瑞品 台北,7500.0,承德路中古汽車商圈,Taipei
台北桃禧大飯店,8800.0,承德路中古汽車商圈,Taipei
豪爵旅館,1780.0,天母商圈,Taipei
福泰桔子商務旅館（林森店）,5280.0,承德路中古汽車商圈,Taipei
安庭台北商務旅館,1000.0,士林觀光夜市商圈,Taipei
愛活商旅,11000.0,承德路中古汽車商圈,Taipei
雀客藏居台北南港,22880.0,西湖商圈,Taipei
金都精緻溫泉飯店,10500.0,新北投溫泉商圈,Taipei
新驛旅店台北車站三館,9500.0,承德路中古汽車商圈,Taipei
新驛旅店西門捷運店,2200.0,承德路中古汽車商圈,Taipei
立德北投溫泉飯店,8500.0,新北投溫泉商圈,Taipei
雀客旅館台北信義,22800.0,士林觀光夜市商圈,Taipei
台北馥華商旅南港館,13000.0,西湖商圈,Taipei
東門大旅社,650.0,承德路中古汽車商圈,Taipei
天閣酒店(台北南西),11800.0,承德路中古汽車商圈,Taipei
城市商旅南東館,3000.0,大直商圈,Taipei
雀客旅館台北內湖,18480.0,天母商圈,Taipei
洛碁大飯店林森館,3000.0,天母商圈,Taipei
探索汽車旅館延平館,3380.0,承德路中古汽車商圈,Taipei
意寬精品旅館 HOME HOTEL,5900.0,大直商圈,Taipei
柯達大飯店敦南店,15000.0,至聖花博商圈,Taipei
二十輪旅店,4900.0,承德路中古汽車商圈,Taipei
富驛時尚酒店　,6600.0,士林捷運站周邊,Taipei
台北西門町意舍酒店,3927.0,承德路中古汽車商圈,Taipei
西門航棧旅館,2280.0,承德路中古汽車商圈,Taipei
香樹花園酒店,18000.0,天母商圈,Taipei
薆悅酒店,8000.0,承德路中古汽車商圈,Taipei
洛碁大飯店舞衣南京館,3000.0,士林捷運站周邊,Taipei
鵲絲旅店豪麗旺館,15000.0,大直商圈,Taipei
大倉久和大飯店,50000.0,承德路中古汽車商圈,Taipei
西門星辰精典大飯店,3380.0,承德路中古汽車商圈,Taipei
西門星辰大飯店,4880.0,承德路中古汽車商圈,Taipei
六福居,12000.0,承德路中古汽車商圈,Taipei
橙舍背包客國際青年旅館,3600.0,承德路中古汽車商圈,Taipei
 Happ& Tomorrow 本來,800.0,承德路中古汽車商圈,Taipei
洛碁大飯店建北館,3000.0,士林捷運站周邊,Taipei
尚印旅店,8800.0,士林捷運站周邊,Taipei
俞美飯店,1500.0,承德路中古汽車商圈,Taipei
長弘時尚旅店,7000.0,士林捷運站周邊,Taipei
西門邑居自由旅行會館,2300.0,承德路中古汽車商圈,Taipei
新麗旅店,5200.0,承德路中古汽車商圈,Taipei
東棧商務旅店,10000.0,士林觀光夜市商圈,Taipei
世方旅居文旅,3000.0,天母商圈,Taipei
北投天玥泉溫泉會館,12800.0,新北投溫泉商圈,Taipei
WESTGATE HOTEL 永安棧,4000.0,承德路中古汽車商圈,Taipei
儷夏商旅,15000.0,承德路中古汽車商圈,Taipei
台糖台北會館,5000.0,承德路中古汽車商圈,Taipei
台北馥華商旅敦北館,10200.0,士林捷運站周邊,Taipei
福泰桔子商務旅館西門店,5800.0,承德路中古汽車商圈,Taipei
富裕自由商旅,10000.0,士林觀光夜市商圈,Taipei
天閣酒店(台北長安) ,8200.0,承德路中古汽車商圈,Taipei
