dag,ready_table,name_cn,source_dept,source_type,schedule_interval,row_count,fetch_note,source_url
proj_city_dashboard/R0058,building_permit_history,歷年度建造執照摘要,都發局,data.taipei XML,0 5 25 * *,34,data.taipei rid=43624c8e-c768-4b3c-93c4-595f5af7a9cb,https://data.taipei/dataset/detail?id=e20ea68e-c79d-4882-a2f9-2f3eeb45384b
proj_city_dashboard/R0059,building_license,當年度使用執照摘要,都發局,data.taipei XML,15 19 * * 1,57,data.taipei rid=74a8b311-906e-44c4-91fb-7f413842d4e1,https://data.taipei/dataset/detail?id=0816f991-e6c8-4da0-a789-d022fee1462b
proj_city_dashboard/R0061,building_social_house,臺北市社會住宅興建進度資料,都發局,json,0 20 20 * *,84,direct https://hms.udd.gov.taipei/api/BigData/project,data.taipei API
proj_city_dashboard/R0062,building_renewarea_10,公劃更新地區(依都更條例),都發局,internal GeoJSON file,00 19 3 * *,307,udd,都發局地形圖數值圖檔供應系統
proj_city_dashboard/R0063,building_renewunit_12,公劃地區內事業(權變案件),都發局,internal GeoJSON file,10 19 3 * *,967,udd,都發局地形圖數值圖檔供應系統
proj_city_dashboard/R0064,building_renewunit_20,公告自劃單元(自劃事業(權變)計劃案件),都發局,internal GeoJSON file,20 19 3 * *,584,udd,都發局地形圖數值圖檔供應系統
proj_city_dashboard/R0065,building_renewunit_30,核准自劃單元(自劃事業(權變)計劃案件),都發局,internal GeoJSON file,30 19 3 * *,562,udd,都發局地形圖數值圖檔供應系統
proj_city_dashboard/R0066,building_renewarea_40,都市計畫劃定更新地區,都發局,internal GeoJSON file,40 19 3 * *,80,udd,都發局地形圖數值圖檔供應系統
proj_city_dashboard/R0067,building_unsued_land,臺北市市有公用未利用土地清冊,財政局,data.taipei API,"0 7 7 3,6,9,12 *",87,data.taipei rid=15c3dde7-b6db-4a66-84c2-098236b84512,https://data.taipei/dataset/detail?id=020bc1fc-34ff-4caa-ab1b-4267bd0bf386
proj_city_dashboard/R0068,building_unsued_public,臺北市市有尚未利用建物供給資料清冊,財政局,data.taipei csv file,"0 1 16 3,9 *",65,data.taipei rid=5afc5dde-3431-45a4-995f-9610616f32cc,https://data.taipei/dataset/detail?id=feaa5be3-0c43-4f0b-a46f-8a57cfd75d7a
